test,layout,backend,size,success,cycles,expected,utilization,M,K,N,ops
21,default,fifo-1,48x16x24,FALSE,3,36,12,48,16,24,18432
61,default,fifo-1,48x16x40,FALSE,3,60,20,48,16,40,30720
81,default,fifo-1,48x16x48,FALSE,3,72,24,48,16,48,36864
101,default,fifo-1,48x16x56,FALSE,3,84,28,48,16,56,43008
1301,default,fifo-1,56x16x24,FALSE,3,42,14,56,16,24,21504
1341,default,fifo-1,56x16x40,FALSE,3,70,23.33333333,56,16,40,35840
1381,default,fifo-1,56x16x56,FALSE,3,98,32.66666667,56,16,56,50176
1421,default,fifo-1,56x16x72,FALSE,3,126,42,56,16,72,64512
2581,default,fifo-1,64x16x24,FALSE,3,48,16,64,16,24,24576
2621,default,fifo-1,64x16x40,FALSE,3,80,26.66666667,64,16,40,40960
2641,default,fifo-1,64x16x48,FALSE,3,96,32,64,16,48,49152
2661,default,fifo-1,64x16x56,FALSE,3,112,37.33333333,64,16,56,57344
3861,default,fifo-1,72x16x24,FALSE,3,54,18,72,16,24,27648
3901,default,fifo-1,72x16x40,FALSE,3,90,30,72,16,40,46080
3941,default,fifo-1,72x16x56,FALSE,3,126,42,72,16,56,64512
3981,default,fifo-1,72x16x72,FALSE,3,162,54,72,16,72,82944
36,round-robin,fifo-1,48x16x24,FALSE,3,36,12,48,16,24,18432
76,round-robin,fifo-1,48x16x40,FALSE,3,60,20,48,16,40,30720
1316,round-robin,fifo-1,56x16x24,FALSE,3,42,14,56,16,24,21504
1356,round-robin,fifo-1,56x16x40,FALSE,3,70,23.33333333,56,16,40,35840
1436,round-robin,fifo-1,56x16x72,FALSE,3,126,42,56,16,72,64512
2596,round-robin,fifo-1,64x16x24,FALSE,3,48,16,64,16,24,24576
2636,round-robin,fifo-1,64x16x40,FALSE,3,80,26.66666667,64,16,40,40960
3876,round-robin,fifo-1,72x16x24,FALSE,3,54,18,72,16,24,27648
3916,round-robin,fifo-1,72x16x40,FALSE,3,90,30,72,16,40,46080
3996,round-robin,fifo-1,72x16x72,FALSE,3,162,54,72,16,72,82944
2566,strided,fifo-1,64x16x16,FALSE,3,32,10.66666667,64,16,16,16384
1,default,fifo-1,48x16x16,TRUE,45,24,0.533333333,48,16,16,12288
41,default,fifo-1,48x16x32,TRUE,136,48,0.352941176,48,16,32,24576
121,default,fifo-1,48x16x64,TRUE,438,96,0.219178082,48,16,64,49152
141,default,fifo-1,48x16x72,TRUE,162,108,0.666666667,48,16,72,55296
161,default,fifo-1,48x24x16,TRUE,69,36,0.52173913,48,24,16,18432
181,default,fifo-1,48x24x24,TRUE,86,54,0.627906977,48,24,24,27648
201,default,fifo-1,48x24x32,TRUE,165,72,0.436363636,48,24,32,36864
221,default,fifo-1,48x24x40,TRUE,133,90,0.676691729,48,24,40,46080
241,default,fifo-1,48x24x48,TRUE,197,108,0.54822335,48,24,48,55296
261,default,fifo-1,48x24x56,TRUE,191,126,0.659685864,48,24,56,64512
281,default,fifo-1,48x24x64,TRUE,516,144,0.279069767,48,24,64,73728
301,default,fifo-1,48x24x72,TRUE,254,162,0.637795276,48,24,72,82944
321,default,fifo-1,48x32x16,TRUE,77,48,0.623376623,48,32,16,24576
341,default,fifo-1,48x32x24,TRUE,95,72,0.757894737,48,32,24,36864
361,default,fifo-1,48x32x32,TRUE,197,96,0.487309645,48,32,32,49152
381,default,fifo-1,48x32x40,TRUE,155,120,0.774193548,48,32,40,61440
401,default,fifo-1,48x32x48,TRUE,221,144,0.65158371,48,32,48,73728
421,default,fifo-1,48x32x56,TRUE,215,168,0.781395349,48,32,56,86016
441,default,fifo-1,48x32x64,TRUE,581,192,0.330464716,48,32,64,98304
461,default,fifo-1,48x32x72,TRUE,275,216,0.785454545,48,32,72,110592
481,default,fifo-1,48x40x16,TRUE,99,60,0.606060606,48,40,16,30720
501,default,fifo-1,48x40x24,TRUE,133,90,0.676691729,48,40,24,46080
521,default,fifo-1,48x40x32,TRUE,252,120,0.476190476,48,40,32,61440
541,default,fifo-1,48x40x40,TRUE,215,150,0.697674419,48,40,40,76800
