schedule_idx	predicted_cost	actual_cycles
0	4370.0	4112
1	4432.0	4268
2	4280.0	4614
3	4416.0	4486
4	4384.0	4422
5	4496.0	4794
6	4304.0	4442
7	4216.0	4886
8	4272.0	4590
9	4248.0	4442
12	4200.0	4348
14	4188.0	9356
15	4400.0	4518
16	4256.0	4378
17	4192.0	4274
23	4249.0	4176
24	4189.0	4110
25	4387.0	4110
30	4273.0	4238
35	4217.0	4174
45	4250.0	4172
51	4193.0	4366
52	4275.0	4238
67	4252.0	4158
68	4190.0	4208
72	4270.0	4158
74	4279.0	4206
77	4254.0	4171
79	4219.0	4158
82	4246.0	4110
91	4298.0	4171
92	4214.0	4302
96	4266.0	4110
97	4198.0	4116
121	4312.0	4492
122	4220.0	4364
123	4274.0	4268
126	4204.0	4264
127	4218.0	4200
129	4264.0	4308
130	4196.0	4224
138	4320.0	4268
139	4224.0	4364
140	4276.0	4300
155	4336.0	4266
156	4232.0	4362
159	4288.0	4272
160	4208.0	4272
167	4404.0	4748
168	4512.0	4744
172	4448.0	4444
176	4424.0	4364
229	4352.0	4584
233	4292.0	4614
271	8464.0	8614
272	4361.0	4118
273	4237.0	4110
274	4635.0	4142
277	6280.0	4966
278	5196.0	4762
279	4756.0	4458
282	5292.0	6398
283	4700.0	5432
284	4450.0	4774
287	4798.0	5630
288	4454.0	4926
289	4297.0	4934
291	4551.0	4982
292	4331.0	5384
299	4393.0	4171
303	4269.0	4142
307	4207.0	4110
313	4241.0	4174
314	4395.0	4174
324	4399.0	4158
326	4271.0	4134
335	4884.0	5386
338	5284.0	6408
339	4696.0	5434
340	4504.0	4770
343	4788.0	5608
345	4324.0	4576
348	4540.0	5052
349	4326.0	4644
350	4234.0	4644
360	4506.0	4776
361	4305.0	4440
367	4330.0	4496
368	4236.0	4512
370	4268.0	4760
375	4508.0	4764
376	4306.0	4436
386	4308.0	4434
387	4698.0	4456
389	4669.0	4492
399	4808.0	5740
400	4456.0	5288
401	4440.0	4696
404	4568.0	5054
405	4338.0	4758
410	4278.0	4540
413	4388.0	8664
420	4460.0	5192
421	4442.0	4648
424	4342.0	4708
425	4294.0	4412
426	4201.0	4280
428	4282.0	4440
436	4444.0	4660
446	4564.0	4888
448	4474.0	4768
449	4202.0	4280
450	4429.0	4790
457	4692.0	4838
460	4570.0	5110
462	4408.0	4542
465	4458.0	4794
466	4284.0	4626
470	4402.0	8646
472	4210.0	9030
479	4410.0	4550
480	4257.0	4326
486	4260.0	5754
487	4212.0	5858
492	4412.0	4594
493	4258.0	4346
501	4468.0	4838
503	4362.0	4838
504	4194.0	4414
505	4309.0	4870
509	4660.0	4744
512	4451.0	4796
517	4403.0	8614
526	4283.0	4836
530	4261.0	5300
597	4213.0	4366
619	4206.0	4300
624	4267.0	4166
625	4215.0	4170
1213	4532.0	4930
1215	4421.0	4823
1230	4452.0	4798
1231	4354.0	4550
1234	4228.0	4886
1248	4302.0	4702
1249	4247.0	4822
1284	4301.0	4803
1308	4223.0	4547
1338	4221.0	4450
1345	4211.0	9030
1451	4446.0	4714
1452	4417.0	4986
1465	4295.0	4931
1512	4350.0	4582
